,Justice,Média,Police,AN,Science,Administration,Entreprises,Associations,Gouvernement,Agences,Médecins,Sénat
871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
872,5.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,5.0
873,4.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0
874,2.0,4.0,2.0,4.0,2.0,2.0,4.0,1.0,4.0,4.0,1.0,2.0
875,5.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,5.0,4.0,1.0,4.0
876,2.0,4.0,2.0,4.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0
877,2.0,2.0,5.0,5.0,1.0,4.0,4.0,2.0,5.0,4.0,1.0,4.0
878,4.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,5.0,4.0,2.0,4.0
879,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,1.0,2.0
880,4.0,5.0,5.0,5.0,5.0,2.0,4.0,3.0,5.0,5.0,2.0,5.0
881,4.0,5.0,4.0,4.0,2.0,4.0,4.0,1.0,5.0,4.0,2.0,4.0
882,5.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0
883,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
884,5.0,5.0,2.0,5.0,2.0,5.0,5.0,4.0,4.0,4.0,2.0,5.0
885,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
886,5.0,5.0,3.0,5.0,2.0,5.0,3.0,2.0,5.0,3.0,2.0,3.0
887,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0
888,2.0,5.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0
889,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0
890,4.0,5.0,2.0,4.0,2.0,4.0,5.0,2.0,5.0,2.0,1.0,2.0
891,4.0,4.0,5.0,1.0,5.0,5.0,2.0,2.0,5.0,5.0,2.0,2.0
892,2.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,1.0,4.0
893,5.0,4.0,2.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0
894,5.0,5.0,2.0,5.0,2.0,5.0,4.0,5.0,5.0,4.0,2.0,5.0
895,2.0,5.0,2.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,2.0,3.0
896,4.0,5.0,1.0,4.0,1.0,4.0,4.0,2.0,5.0,5.0,1.0,4.0
897,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
898,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0
899,5.0,5.0,4.0,2.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,2.0
900,2.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0
901,4.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0
902,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0
903,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
904,4.0,4.0,2.0,4.0,2.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0
905,1.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0
906,2.0,4.0,2.0,4.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0
907,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,2.0,5.0
908,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,4.0
909,4.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0
910,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
911,1.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0
912,2.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,5.0,5.0,2.0,5.0
913,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
914,4.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0
915,4.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0
916,5.0,5.0,1.0,5.0,2.0,4.0,1.0,4.0,5.0,2.0,1.0,5.0
917,2.0,5.0,1.0,5.0,2.0,2.0,4.0,2.0,5.0,2.0,2.0,4.0
918,5.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,2.0,5.0
919,4.0,4.0,4.0,5.0,2.0,4.0,5.0,2.0,5.0,4.0,2.0,4.0
920,4.0,4.0,2.0,2.0,1.0,2.0,4.0,5.0,4.0,2.0,1.0,2.0
921,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0
922,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0
923,4.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0
924,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0
925,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
926,4.0,4.0,2.0,4.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0
927,5.0,4.0,2.0,5.0,2.0,2.0,4.0,4.0,5.0,4.0,2.0,5.0
928,5.0,5.0,2.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,2.0,1.0
929,4.0,5.0,1.0,5.0,2.0,4.0,5.0,5.0,5.0,4.0,2.0,5.0
930,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0
