,SEXE,AGE,OA196_r1,OA196_r2,OA196_r3,OA196_r4,OA196_r5,OA196_r6,OA196_r7
449,Un homme,23.0,1,2,2,1,-1,1,-1
450,Une femme,25.0,1,1,1,1,-1,1,1
451,Un homme,61.0,0,0,1,0,1,0,1
452,Un homme,28.0,-2,2,1,2,1,-1,2
453,Un homme,59.0,1,-1,-1,-1,-1,-1,1
454,Un homme,55.0,1,1,2,2,2,1,1
455,Une femme,50.0,0,0,0,0,0,0,0
456,Un homme,62.0,1,-1,1,2,1,1,1
457,Un homme,50.0,1,1,2,1,2,2,2
458,Une femme,56.0,-1,-1,-1,1,1,1,-1
459,Un homme,64.0,0,1,0,-1,-1,-1,1
460,Une femme,18.0,1,-1,-1,1,-1,1,-1
461,Un homme,64.0,1,-1,1,1,-2,-1,1
462,Un homme,78.0,1,2,1,1,1,1,1
463,Une femme,84.0,-1,1,2,2,1,2,1
464,Un homme,70.0,1,1,1,1,1,1,1
465,Une femme,51.0,1,0,-1,-1,-1,1,0
466,Un homme,56.0,2,1,2,-1,-2,1,2
467,Une femme,52.0,0,1,2,1,0,1,2
468,Une femme,76.0,2,1,2,-1,-1,1,2
469,Une femme,27.0,0,0,0,0,0,0,0
470,Un homme,68.0,2,1,1,0,1,1,1
471,Une femme,29.0,1,1,2,-1,-1,2,1
472,Une femme,77.0,1,-1,1,1,1,-1,1
473,Un homme,53.0,1,-1,1,1,-1,1,-1
474,Une femme,45.0,-1,2,1,2,1,1,1
475,Un homme,77.0,1,2,2,-1,-1,1,1
476,Une femme,22.0,0,0,0,0,0,0,0
477,Une femme,25.0,1,1,1,-1,-1,1,1
478,Un homme,59.0,2,2,2,2,1,2,2
479,Une femme,33.0,1,-1,-1,-1,-2,2,1
480,Un homme,58.0,0,2,0,1,1,-1,1
481,Un homme,61.0,-1,-1,1,1,-1,2,1
482,Une femme,83.0,2,2,2,2,2,2,2
483,Une femme,76.0,-1,-1,1,-1,-1,-1,1
484,Un homme,56.0,1,1,2,-1,-1,1,1
485,Un homme,36.0,1,-1,0,0,0,0,-1
486,Un homme,52.0,-2,-2,2,2,1,1,1
487,Un homme,54.0,-1,1,1,1,1,1,1
488,Une femme,76.0,1,2,1,2,1,-1,1
489,Une femme,37.0,-1,-1,0,-1,-1,-1,-1
490,Une femme,34.0,1,2,2,2,-1,1,1
491,Une femme,70.0,2,-1,1,-1,-2,1,1
492,Un homme,49.0,1,0,2,2,1,0,1
493,Une femme,61.0,-1,-1,1,-2,1,-1,1
494,Une femme,48.0,2,0,1,-1,-1,0,2
495,Un homme,22.0,1,1,1,1,-1,1,1
496,Un homme,37.0,1,0,2,0,-2,0,0
497,Une femme,60.0,1,1,1,1,1,1,1
498,Une femme,67.0,0,1,0,1,0,0,1
499,Une femme,76.0,1,1,2,2,-1,1,2
500,Un homme,75.0,1,2,1,2,1,1,1
501,Un homme,48.0,-2,2,2,2,2,-2,2
502,Une femme,34.0,-1,-2,1,1,-2,0,1
503,Un homme,76.0,1,1,2,-1,-1,1,1
504,Une femme,66.0,1,1,0,-1,-1,0,1
505,Une femme,68.0,1,1,1,1,1,1,1
506,Une femme,56.0,1,1,2,1,0,1,2
507,Une femme,39.0,-1,1,2,0,0,0,1
508,Une femme,82.0,2,1,2,1,1,-1,2
509,Un homme,34.0,1,1,-1,1,-1,1,1
510,Une femme,54.0,1,-1,-1,1,1,0,0
511,Un homme,78.0,1,-1,-1,1,1,1,1
512,Un homme,77.0,1,-1,1,-1,-1,1,-1
513,Une femme,34.0,1,2,-1,-1,-1,1,1
514,Une femme,81.0,2,2,1,1,1,1,2
515,Une femme,55.0,2,-1,1,-1,-1,1,2
516,Une femme,62.0,0,2,2,2,0,1,2
